skip_pct,skip_precision,recall_sc_fail,n_missed,n_caught,signal
0,1.0,1.0,0,273,full_trace
5,0.375,0.9451,15,258,full_trace
10,0.3878,0.8901,30,243,full_trace
15,0.3699,0.8315,46,227,full_trace
20,0.3571,0.7692,63,210,full_trace
25,0.3852,0.7253,75,198,full_trace
30,0.3741,0.663,92,181,full_trace
35,0.4035,0.6264,102,171,full_trace
40,0.4031,0.5714,117,156,full_trace
45,0.4273,0.5385,126,147,full_trace
50,0.4449,0.5018,136,137,full_trace
55,0.4647,0.4725,144,129,full_trace
60,0.4626,0.4212,158,115,full_trace
65,0.4497,0.359,175,98,full_trace
70,0.4461,0.304,190,83,full_trace
75,0.4414,0.2491,205,68,full_trace
80,0.449,0.2088,216,57,full_trace
85,0.4471,0.1575,230,43,full_trace
90,0.4444,0.1026,245,28,full_trace
95,0.4473,0.0586,257,16,full_trace
0,1.0,1.0,0,273,prefinal_full
5,0.375,0.9451,15,258,prefinal_full
10,0.3469,0.8828,32,241,prefinal_full
15,0.3836,0.8352,45,228,prefinal_full
20,0.3673,0.7729,62,211,prefinal_full
25,0.3361,0.7033,81,192,prefinal_full
30,0.3469,0.6484,96,177,prefinal_full
35,0.3333,0.5824,114,159,prefinal_full
40,0.3367,0.5238,130,143,prefinal_full
45,0.3273,0.4579,148,125,prefinal_full
50,0.351,0.4176,159,114,prefinal_full
55,0.3755,0.3846,168,105,prefinal_full
60,0.3912,0.3443,179,94,prefinal_full
65,0.3994,0.3004,191,82,prefinal_full
70,0.4082,0.2564,203,70,prefinal_full
75,0.4114,0.2088,216,57,prefinal_full
80,0.4184,0.1648,228,45,prefinal_full
85,0.4183,0.1136,242,31,prefinal_full
90,0.424,0.0696,254,19,prefinal_full
95,0.4366,0.0403,262,11,prefinal_full
0,1.0,1.0,0,273,prefinal_early
5,0.375,0.9451,15,258,prefinal_early
10,0.3673,0.8864,31,242,prefinal_early
15,0.3562,0.8278,47,226,prefinal_early
20,0.3673,0.7729,62,211,prefinal_early
25,0.3689,0.7179,77,196,prefinal_early
30,0.3333,0.641,98,175,prefinal_early
35,0.3392,0.5861,113,160,prefinal_early
40,0.352,0.5348,127,146,prefinal_early
45,0.3591,0.4835,141,132,prefinal_early
50,0.3714,0.4359,154,119,prefinal_early
55,0.3866,0.3956,165,108,prefinal_early
60,0.3878,0.3407,180,93,prefinal_early
65,0.3962,0.2967,192,81,prefinal_early
70,0.3965,0.2418,207,66,prefinal_early
75,0.4114,0.2088,216,57,prefinal_early
80,0.4158,0.1612,229,44,prefinal_early
85,0.4279,0.1282,238,35,prefinal_early
90,0.4286,0.0769,252,21,prefinal_early
95,0.4344,0.0366,263,10,prefinal_early
