threshold,pct_flagged,accuracy,kappa,false_alarm,missed_fail
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
,0.0,0.5046,0.0,1.0,0.0
